order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_zip_code_prefix,seller_city,seller_state,payment_type,payment_value,payment_installments,review_score,category,delivery_days,is_late,delay_days,total_order_value,order_year,order_month,order_date,order_dayofweek,is_weekend,approval_hours,is_cancelled,is_anomaly,anomaly_score,is_price_spike,is_freight_spike,is_severe_delay,is_fast_delivery,is_payment_mismatch
403b97836b0c04a622354cf531062e5f,738b086814c6fcc74b8cc583f8516ee3,delivered,2018-01-02 19:00:43,2018-01-02 19:09:04,2018-01-03 18:19:09,2018-01-20 01:38:59,2018-02-06,1.0,638bbb2a5e4f360b71f332ddfebfd672,c4af86330efa7a2620772227d2d670c9,2018-01-12 19:09:04,889.0,77.45,6e26bbeaa107ec34112c64e1ee31c0f5,21381,rio de janeiro,rj,construcao_ferramentas_construcao,38.0,143.0,2.0,20850.0,100.0,25.0,50.0,8840.0,mogi das cruzes,sp,credit card,1376.45,10.0,5.0,construction tools construction,17.0,0,-17.0,1376.45,2018,1,2018-01-02,1,0,0.1391666666666666,0,1,-0.7430281170992329,1,1,0,0,0
434d158e96bdd6972ad6e6d73ddcfd22,2a1dfb647f32f4390e7b857c67458536,delivered,2018-06-01 12:23:13,2018-06-05 03:35:15,2018-06-08 11:49:00,2018-06-18 21:32:52,2018-07-17,1.0,c7df652246ed7b3300aaf46960c141e4,a5cba26a62b8b4d0145b68b841e62e7f,2018-06-13 03:35:15,445.0,63.17,5f7d7732b351ce851a158528581af05f,54330,jaboatao dos guararapes,pe,beleza_saude,28.0,1455.0,1.0,683.0,29.0,15.0,22.0,87303.0,campo mourao,pr,boleto,508.17,1.0,5.0,health beauty,17.0,0,-29.0,508.17,2018,6,2018-06-01,4,0,87.20055555555555,0,1,-0.6165136831590164,0,1,0,0,0
f271576bed568e896f99eb710cd3a6f8,5dda11942d4f77bee3a46d71e442aec4,delivered,2018-01-07 21:44:54,2018-01-07 21:51:28,2018-01-10 21:56:09,2018-01-17 20:26:31,2018-02-14,1.0,d457916b4fdc60154ed93b5dd3e6fd69,76d64c4aca3a7baf218bf93ef7fa768d,2018-01-11 21:51:28,329.9,82.48,6a0e43f0d7e1b5539e4c58a26ebe35da,46740,boninal,ba,construcao_ferramentas_construcao,57.0,424.0,1.0,10000.0,30.0,20.0,30.0,80215.0,curitiba,pr,credit card,824.76,4.0,3.0,construction tools construction,9.0,0,-28.0,412.38,2018,1,2018-01-07,6,1,0.1094444444444444,0,1,-0.6656361914001876,0,1,0,0,1
f271576bed568e896f99eb710cd3a6f8,5dda11942d4f77bee3a46d71e442aec4,delivered,2018-01-07 21:44:54,2018-01-07 21:51:28,2018-01-10 21:56:09,2018-01-17 20:26:31,2018-02-14,2.0,d457916b4fdc60154ed93b5dd3e6fd69,76d64c4aca3a7baf218bf93ef7fa768d,2018-01-11 21:51:28,329.9,82.48,6a0e43f0d7e1b5539e4c58a26ebe35da,46740,boninal,ba,construcao_ferramentas_construcao,57.0,424.0,1.0,10000.0,30.0,20.0,30.0,80215.0,curitiba,pr,credit card,824.76,4.0,3.0,construction tools construction,9.0,0,-28.0,412.38,2018,1,2018-01-07,6,1,0.1094444444444444,0,1,-0.6656361914001876,0,1,0,0,1
6b860b35691d486e45dc98e3514ec5f6,fee181bf648906d1c57f84f216976286,delivered,2017-12-08 09:42:43,2017-12-09 02:49:54,2017-12-11 15:19:04,2017-12-19 18:43:35,2018-01-03,1.0,c827fb43ad0fb8708f34c2911fdc164b,76d5af76d0271110f9af36c92573f765,2017-12-14 02:49:54,544.0,30.36,4754e3b66497719a91b36268ed9c5718,13760,tapiratiba,sp,esporte_lazer,53.0,699.0,1.0,10600.0,26.0,30.0,26.0,3194.0,sao paulo,sp,boleto,574.36,1.0,5.0,sports leisure,11.0,0,-15.0,574.36,2017,12,2017-12-08,4,0,17.119722222222222,0,1,-0.5981119111765697,1,0,0,0,0
f169bd689fb8b32ccd62df9050aebc0b,82f0b75bb50fcb30711e5277e36b3983,delivered,2018-04-22 23:23:18,2018-04-24 19:24:14,2018-04-27 13:46:00,2018-04-30 17:57:25,2018-05-07,1.0,20a8603c265d777e25da064113d556f5,e70053bf73d1b5863932e53a9fa47496,2018-04-29 23:31:10,759.0,13.08,4a8c8f751984985cd49f74249da95aae,8485,sao paulo,sp,telefonia,59.0,474.0,3.0,475.0,17.0,14.0,14.0,5059.0,sao paulo,sp,credit card,772.08,8.0,5.0,telephony,7.0,0,-7.0,772.08,2018,4,2018-04-22,6,1,44.01555555555556,0,1,-0.652124046340682,1,0,0,0,0
bb7c5cf4dff9994daeab7c8ee9d287aa,9a4900710ff76d73cb3a0d152e73adf0,delivered,2018-03-01 22:14:26,2018-03-02 22:08:51,2018-03-05 17:32:31,2018-03-09 14:48:21,2018-03-26,1.0,af0a99476d96dcc1a1baa7c0d9ff6b9d,04308b1ee57b6625f47df1d56f00eedf,2018-03-07 22:08:51,535.9,18.5,97f104e8e54ef4147d17fc1536a1482c,97502,uruguaiana,rs,beleza_saude,52.0,913.0,3.0,593.0,30.0,13.0,16.0,88215.0,bombinhas,sc,credit card,554.4,8.0,4.0,health beauty,7.0,0,-17.0,554.4,2018,3,2018-03-01,3,0,23.906944444444445,0,1,-0.5942916042362242,1,0,0,0,0
a6cd683d4bd3b9b1f0aa37b27f8116d3,48f239e15744ed5e7ffbafc6bb6e882b,delivered,2017-01-28 23:45:53,2017-01-29 01:31:48,2017-02-01 14:25:06,2017-02-10 17:30:19,2017-03-10,1.0,721b56b7d205d6750e97716593bcb370,5c243662ce92d84573bfaff24c3e3700,2017-02-03 23:45:53,589.9,20.0,169381f51e4c3e926ef199364aeced22,41830,salvador,ba,beleza_saude,55.0,3458.0,1.0,2550.0,35.0,30.0,13.0,3702.0,sao paulo,sp,credit card,609.9,6.0,4.0,health beauty,12.0,0,-28.0,609.9,2017,1,2017-01-28,5,1,1.7652777777777775,0,1,-0.6107674308106416,1,0,0,0,0
b6b3633f97c686d8e188ac6fa29ff20d,8d3d362741da05c706eb55001bdfa1b9,delivered,2018-07-27 12:45:51,2018-07-27 13:04:20,2018-08-02 13:33:00,2018-08-06 17:20:53,2018-08-17,1.0,de89f330c497e12d2510c2cd2a48a29f,240b9776d844d37535668549a396af32,2018-08-06 13:04:20,679.0,19.85,71570c9b76f11df814726260cf634fb8,3236,sao paulo,sp,telefonia,30.0,900.0,1.0,605.0,16.0,14.0,16.0,24120.0,niteroi,rj,credit card,698.85,7.0,2.0,telephony,10.0,0,-11.0,698.85,2018,7,2018-07-27,4,0,0.3080555555555556,0,1,-0.6371419367721709,1,0,0,0,0
7c18eddfcd24680d80a502346221614e,b7ee9b824b4a83b389379ac70585bf3b,delivered,2018-07-13 15:45:51,2018-07-13 16:04:02,2018-07-16 09:53:00,2018-07-24 20:16:30,2018-08-09,2.0,e9a69340883a438c3f91739d14d3a56d,1b4c3a6f53068f0b6944d2d005c9fc89,2018-07-17 16:04:02,169.49,68.23,ac307db9d15fc5bb19b61298bd6bd1ed,76590,sao miguel do araguaia,go,utilidades_domesticas,60.0,1912.0,5.0,3000.0,33.0,12.0,34.0,88730.0,sao ludgero,sc,credit card,423.67,10.0,3.0,housewares,11.0,0,-16.0,237.72000000000003,2018,7,2018-07-13,4,0,0.3030555555555556,0,1,-0.6301051483701018,0,1,0,0,1
