category,order_count,revenue,avg_review,revenue_rank
health beauty,9465,1412089.53,4.19,1
watches gifts,5859,1264333.12,4.08,2
bed bath table,10953,1225209.26,3.94,3
sports leisure,8431,1118256.91,4.17,4
computers accessories,7644,1032723.77,3.99,5
furniture decor,8160,880329.92,3.96,6
housewares,6795,758392.25,4.11,7
cool stuff,3718,691680.89,4.2,8
auto,4140,669454.75,4.12,9
garden tools,4268,567145.68,4.09,10
toys,4030,547061.06,4.21,11
baby,2982,466727.65,4.09,12
perfumery,3340,443171.63,4.22,13
telephony,4430,379202.62,4.0,14
office furniture,1668,335211.36,3.53,15
