order_year,order_month,order_count,monthly_revenue,avg_delivery_days,avg_review,mom_growth_pct
2016,9,3,143.46,45.0,1.0,
2016,10,313,46490.66,18.8,3.91,10333.3
2016,12,1,19.62,4.0,5.0,-99.7
2017,1,913,127482.37,11.7,4.17,91200.0
2017,2,1858,271239.32,12.3,4.18,103.5
2017,3,2897,414330.95,11.7,4.14,55.9
2017,4,2569,390812.4,13.9,4.1,-11.3
2017,5,4004,566851.4,10.7,4.21,55.9
2017,6,3489,490050.37,11.3,4.2,-12.9
2017,7,4416,566299.08,10.9,4.2,26.6
2017,8,4797,645832.36,10.4,4.29,8.6
2017,9,4737,701077.49,11.3,4.19,-1.3
2017,10,5214,751117.01,11.2,4.12,10.1
2017,11,8475,1153364.2,14.3,3.91,62.5
2017,12,6187,843078.29,14.6,4.02,-27.0
2018,1,8037,1077887.46,13.4,4.01,29.9
2018,2,7518,966168.41,16.1,3.79,-6.5
2018,3,8017,1120598.24,15.4,3.75,6.6
2018,4,7827,1132878.93,10.8,4.12,-2.4
2018,5,7810,1128774.52,10.8,4.17,-0.2
2018,6,7010,1011978.29,8.6,4.22,-10.2
2018,7,6963,1027807.28,8.4,4.28,-0.7
2018,8,7142,985491.64,7.2,4.25,2.6
