order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_zip_code_prefix,seller_city,seller_state,payment_type,payment_value,payment_installments,review_score,category,delivery_days,is_late,delay_days,total_order_value,order_year,order_month,order_date,order_dayofweek,is_weekend,approval_hours,is_cancelled
b85a7527aeed7648354efec94c8db7fd,d9c2e17e0fbeebd71fa661d9d6bf65bf,delivered,2018-02-22 17:42:15,2018-02-22 17:55:50,2018-02-23 22:59:33,2018-03-13 11:46:47,2018-03-21,1.0,6f3b5b605d91b7439c5e3f5a8dffeea7,4869f7a5dfa277a7dca6462dcf3b52b2,2018-02-28 17:55:50,199.0,16.14,ae3e64cc7bae194a4d37f3443458fc72,38840,carmo do paranaiba,mg,relogios_presentes,35.0,640.0,1.0,335.0,17.0,11.0,16.0,14840.0,guariba,sp,credit card,215.14,8.0,4.0,watches gifts,18.0,0,-8.0,215.14,2018,2,2018-02-22,3,0,0.2263888888888889,0
f35eb369cd2607e2157e8b1a7376befd,ac909d4d7eea34a00a8655edd9073c81,delivered,2018-03-07 17:34:21,2018-03-07 18:20:31,2018-03-08 20:46:33,2018-03-27 21:59:03,2018-04-04,1.0,45b280868bcc8124d9309f459a42eeaf,4d6d651bd7684af3fffabd5f08d12e5a,2018-03-13 18:20:31,169.0,19.06,35b95f164008426359c3d6e1e471f9a9,97502,uruguaiana,rs,esporte_lazer,59.0,902.0,2.0,6450.0,20.0,20.0,20.0,17209.0,jau,sp,credit card,188.06,5.0,4.0,sports leisure,20.0,0,-8.0,188.06,2018,3,2018-03-07,2,0,0.7694444444444445,0
83e24dbe6e1a79765dd6f8b91066ed00,55e2d4fb7eefded2b6d3f39666620acf,delivered,2018-04-13 11:57:52,2018-04-13 13:30:26,2018-04-16 20:14:38,2018-04-17 20:08:33,2018-05-02,1.0,ab1f9387c0627dd24000bfbc54fdeee0,8b321bb669392f5163d04c59e235e066,2018-04-19 13:30:26,12.25,7.39,8e1573decff799e8fb61e8c3708ad473,4603,sao paulo,sp,eletronicos,45.0,456.0,1.0,175.0,22.0,11.0,16.0,1212.0,sao paulo,sp,credit card,39.28,1.0,5.0,electronics,4.0,0,-15.0,19.64,2018,4,2018-04-13,4,0,1.5427777777777778,0
0c6a35b799f52f904a18f2810c4d1772,ad48ee61dba1606e5ee496ca03710f83,delivered,2017-10-01 12:09:38,2017-10-02 12:24:36,2017-10-03 15:49:00,2017-10-16 19:50:02,2017-10-26,1.0,a22f707cfd269773138c3bf3a43f6180,23613d49c3ac2bd302259e55c06c050c,2017-10-06 12:24:36,45.9,20.84,6ba9ae471d8a19202d6462a17f03e831,29177,serra,es,moveis_decoracao,25.0,253.0,3.0,7000.0,25.0,25.0,25.0,13660.0,porto ferreira,sp,credit card,66.74,1.0,5.0,furniture decor,15.0,0,-10.0,66.74,2017,10,2017-10-01,6,1,24.24944444444445,0
52760c1d47cac70d898facb7ac9aa803,0ced40c1deef4fcdc41987673efef092,delivered,2018-08-22 12:47:22,2018-08-23 02:44:33,2018-08-23 13:19:00,2018-08-28 17:48:34,2018-09-10,1.0,c266cebdbbb7e17e23ffce382a4e3c3d,a254c682cc01e119f83530446f1df9a9,2018-08-29 02:44:33,56.9,18.5,ddd1978fc6cc93e214d580099768ff20,30870,belo horizonte,mg,pet_shop,48.0,419.0,2.0,250.0,16.0,20.0,16.0,16500.0,cafelandia,sp,boleto,75.4,1.0,4.0,pet shop,6.0,0,-13.0,75.4,2018,8,2018-08-22,2,0,13.953055555555556,0
417575a363d3c393c6dcfcbbd67890e8,6f08afe6208e54d048a3fc50e512ac7a,delivered,2017-08-26 15:59:53,2017-08-26 16:10:20,2017-08-31 18:37:41,2017-09-11 17:55:13,2017-09-19,1.0,c6336fa91fbd87c359e44f5dca5a90ed,4c2b230173bb36f9b240f2b8ac11786e,2017-08-31 16:10:20,45.9,15.1,24beffe154cc4568bcfe9a4c27cabf43,29285,piuma,es,esporte_lazer,39.0,772.0,1.0,150.0,16.0,16.0,11.0,3933.0,sao paulo,sp,credit card,122.0,2.0,5.0,sports leisure,16.0,0,-8.0,61.0,2017,8,2017-08-26,5,1,0.1741666666666666,0
3785ffb02b0b201a23df7daf357c271d,7cba2705c01b76fa986e0efd815d3b09,delivered,2017-10-03 13:27:13,2017-10-03 13:49:19,2017-10-04 16:41:36,2017-10-07 16:29:03,2017-10-19,1.0,2052b3c5e08893e567c2fb7778476c75,be8e909810184b9b19e886129149d8e5,2017-10-09 13:49:19,44.99,9.94,d1188dec6bca7728f5fce5f9dc4239b2,13145,paulinia,sp,informatica_acessorios,46.0,227.0,1.0,810.0,16.0,10.0,12.0,13418.0,piracicaba,sp,credit card,54.93,1.0,4.0,computers accessories,4.0,0,-12.0,54.93,2017,10,2017-10-03,1,0,0.3683333333333333,0
db88b6343641816263ce1df8c1ad1b2a,bfc3b18138f9f8875f3cb6d9f8202ed0,delivered,2017-10-10 23:13:16,2017-10-12 02:19:35,2017-10-16 22:23:58,2017-10-20 18:18:01,2017-10-30,1.0,4be2adcd3d80c43a90cb97d7efbeedc4,79ebd9a61bac3eaf882805ed4ecfa12a,2017-10-18 03:19:35,19.9,12.48,eb34fb8ca71153273b4beadf0f04111a,85040,guarapuava,pr,moveis_decoracao,39.0,1405.0,3.0,150.0,35.0,2.0,25.0,85802.0,cascavel,pr,boleto,32.38,1.0,5.0,furniture decor,9.0,0,-10.0,32.379999999999995,2017,10,2017-10-10,1,0,27.10527777777778,0
828c98fce36f901cb4d8eff92964095f,24c7aadbfa060eb49dc0a8e299aa42cb,delivered,2018-05-10 13:50:44,2018-05-11 03:37:34,2018-05-11 16:28:00,2018-05-17 14:06:54,2018-06-04,1.0,06dce482ace017e78349b6f1fa83a022,f7ccf836d21b2fb1de37564105216cc1,2018-05-17 03:31:42,39.0,18.23,51779e82e1660741e7551fa972589921,27910,macae,rj,cama_mesa_banho,44.0,452.0,1.0,550.0,30.0,3.0,19.0,14940.0,ibitinga,sp,boleto,57.23,1.0,4.0,bed bath table,7.0,0,-18.0,57.23,2018,5,2018-05-10,3,0,13.780555555555557,0
6142683d7783f0d3661b6a652ef0c5c6,b267fb1c501374f26f3af1022ec98b09,delivered,2017-07-19 14:31:53,2017-07-21 02:50:29,2017-07-24 10:14:52,2017-07-28 16:37:54,2017-08-14,1.0,2a2d22ae30e026f1893083c8405ca522,1a3df491d1c4f1589fc2b934ada68bf2,2017-07-31 02:50:29,134.9,21.43,e2806ccf2b839acb1768d224daa67654,3560,sao paulo,sp,cama_mesa_banho,60.0,744.0,2.0,8350.0,50.0,27.0,38.0,89224.0,joinville,sc,boleto,156.33,1.0,5.0,bed bath table,9.0,0,-17.0,156.33,2017,7,2017-07-19,2,0,36.31,0
