seller_id,seller_city,seller_state,total_orders,avg_delivery_days,late_rate_pct,avg_review_score,total_revenue,avg_price
6560211a19b47992c3666cc44a7e94c0,sao paulo,sp,1996,9.0,6.2,3.96,148050.94,60.47
4a3ca9315b744ce9f8e9374361493884,ibitinga,sp,1949,13.8,11.0,3.84,231220.43,101.02
1f50f920176fa81dab994f9023523100,sao jose do rio preto,sp,1926,14.9,9.4,4.0,141712.94,55.38
cc419e0650a3c5ba77189a1882b7556a,santo andre,sp,1719,11.0,6.0,4.14,125936.99,58.87
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,sp,1548,10.5,7.3,4.07,184706.78,103.24
955fee9216a65b617aa5c0531780ce60,sao paulo,sp,1472,10.2,8.1,4.09,156606.48,89.56
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,sp,1420,11.5,9.2,3.87,171924.96,97.33
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,sp,1355,21.3,9.6,3.36,237806.69,137.69
ea8482cd71df3c1969d7b9473ff13abc,sao paulo,sp,1188,12.8,10.4,3.99,53988.63,30.89
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,sp,1155,10.5,5.9,4.27,160278.52,120.92
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,sp,1148,14.5,11.6,4.15,247007.06,197.71
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,sp,1131,12.8,5.9,4.16,115515.65,82.59
8b321bb669392f5163d04c59e235e066,sao paulo,sp,1005,12.0,10.2,4.03,31186.94,17.23
cca3071e3e9bb7d12640c9fbe2301306,ibitinga,sp,817,13.3,5.4,3.91,77188.55,77.17
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,rj,778,12.3,9.5,4.28,126278.18,144.55
a1043bafd471dff536d0c462352beb48,ilicinea,mg,752,13.1,5.6,4.25,130412.74,132.06
e9779976487b77c6d4ac45f75ec7afe9,praia grande,sp,738,9.2,7.5,4.21,52211.3,57.3
f8db351d8c4c4c22c6835c19a46f01b0,salto,sp,714,9.4,5.9,4.25,62487.02,70.14
d2374cbcbb3ca4ab1086534108cc3ab7,ibitinga,sp,620,13.8,5.3,3.71,30370.23,33.75
391fc6631aebcf3004804e51b40bcf1e,ibitinga,sp,605,13.7,9.6,3.99,49559.14,65.25
fa1c13f2614d7b5c4749cbc52fecda94,sumare,sp,579,12.7,10.2,4.38,200833.5,311.62
7d13fca15225358621be4086e1eb0964,ribeirao preto,sp,571,15.0,11.9,4.02,120934.47,196.91
128639473a139ac0f3e5f5ade55873a5,maringa,pr,554,13.9,6.3,4.21,21475.54,21.3
1835b56ce799e6a4dc4eddc053f04066,ibitinga,sp,551,12.2,10.5,3.64,41628.28,59.9
d91fb3b7d041e83b64a00a3edfb37e4f,praia grande,sp,525,10.9,6.3,4.14,48984.45,76.06
1900267e848ceeba8fa32d80c1a5f5a8,ibitinga,sp,523,12.3,9.9,3.89,32679.54,47.13
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,rj,523,11.3,6.3,4.27,134162.88,229.0
53e4c6e0f4312d4d2107a8c9cddf45cd,pedreira,sp,512,11.2,5.3,4.08,39283.93,57.79
85d9eb9ddc5d00ca9336a2219c97bb13,belo horizonte,mg,512,14.2,3.5,4.21,23539.91,29.51
4e922959ae960d389249c378d1c939f5,jacarei,sp,446,14.1,10.8,3.91,52485.6,101.66
8581055ce74af1daba164fdbd55a40de,guarulhos,sp,427,12.2,9.8,4.27,73473.98,149.91
9f505651f4a6abe901a56cdc21508025,sao paulo,sp,426,7.7,4.7,4.31,31862.59,60.83
8160255418d5aaa7dbdc9f4c64ebda44,ibitinga,sp,424,16.0,17.9,3.87,54095.68,109.36
218d46b86c1881d022bce9c68a7d4b15,ribeirao preto,sp,420,13.1,9.0,4.18,61162.94,127.88
2138ccb85b11a4ec1e37afbd1c8eda1f,sao paulo,sp,419,10.7,5.5,3.92,17991.89,28.85
dbc22125167c298ef99da25668e1011f,borda da mata,mg,417,10.9,2.4,4.28,40616.55,78.73
897060da8b9a21f655304d50fd935913,ribeirao preto,sp,413,14.1,12.1,3.49,28258.33,52.69
16090f2ca825584b5a147ab24aa30c86,atibaia,sp,406,8.5,10.8,4.08,30984.02,61.59
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,ma,402,17.2,23.6,4.04,48169.5,89.8
53243585a1d6dc2643021fd1853d8905,lauro de freitas,ba,400,12.9,4.0,4.13,230797.02,440.84
4d6d651bd7684af3fffabd5f08d12e5a,jau,sp,389,12.6,4.6,4.2,50785.76,110.54
77530e9772f57a62c906e1c21538ab82,curitiba,pr,381,14.4,11.5,4.08,53951.31,119.89
de722cd6dad950a92b7d4f82673f8833,recife,pe,377,12.4,4.0,4.17,64776.59,146.22
c826c40d7b19f62a09e2d7c5e7295ee2,guarulhos,sp,365,12.7,9.0,4.09,50096.67,122.34
7299e27ed73d2ad986de7f7c77d919fa,araguari,mg,358,10.7,4.7,4.43,40911.93,93.62
92eb0f42c21942b6552362b9b114707d,sao paulo,sp,358,12.9,7.5,3.96,11262.04,17.93
b2ba3715d723d245138f291a6fe42594,sao paulo,sp,350,13.3,8.6,4.21,55596.65,139.42
4c2b230173bb36f9b240f2b8ac11786e,sao paulo,sp,343,12.2,9.0,3.77,18828.71,42.2
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,sp,343,10.7,5.8,4.03,124702.92,304.55
87142160b41353c4e5fca2360caf6f92,porto alegre,rs,339,10.3,5.6,4.36,38314.31,91.74
